Username,Comment,vader_sentiment
-,May the fourth be with you all ,1
-,Thank you for including me in this! May the 4th be with us all.,1
Catherine LaSalle,Honored to be a part of this amongst so many amazing fellow creators & members of this fandom! May The Fourth Be With You Always! 🩵,1
Pop Culture Data,you don't know the power of the dark side,1
TK-421 - Finest Imperial Reviews,"Woohoo! Thanks so much for including us in this wonderful montage. We’re truly humbled to be among these amazing fellow creators, gamers and storytellers! May the fourth be with you! ",1
brix bøy159,"God I'm so glad I've become a star wars fan. May the 4th be with us all everyone, always!",1
Game Hog,Thank you for including my Knights of the Old Republic video in this ️ May the 4th be with you all!!,1
Nerdy Nightly,Thank you for including me in this!!! My love for the Battledroids is official!!,1
-,"Thanks for including us, and May the Fourth be with you!",1
Everything Super,Man jedi fallen order had and has such an impact! Love it! May the 4th be with you,1
•_Simply_Everything_Skywalker_•,May the 4th be with you also YouTube!!! Thanks Star Wars for being awesome and thanks for this amazing fandom ,1
Team Retro,Thank you for including us in this video  May the 4th Be with you ️,1
Kush Garg,"May the 4th be with you, everyone!",1
NGJW Productions,I’m so glad that animators were included in this,1
Beckfilm Productions,so awesome that u included those Lego Star Wars brickfilms! They and the community are well-deserving of the spotlight! May the 4th Be With You!,1
John Tetra,"Star Wars transcends language, cultures, race, background, everything and gives people one thing to come together and love. Truly inspiring",1
Aoyhomee Guido,May the 4th be with you all!!!,1
Brotherly Square,May the 4th be with everyone ,1
MrNathSays," The YouTube Gaming community is truly out of this world with their amazing Star Wars content. From fan films to fan lore, they have brought the galaxy far, far away to life! ",1
Saviour 3.0,Thanks for using my video! Means so much to creators on the come up!,1
Transmute Pictures,Thanks for featuring our humble webseries Bucketheads in this video!,1
DJ Rotom,May the fourth be with you guys always! ,1
BennyProPlayz,Congrats on all the YouTubers for being on the video and Thanks to George Lucas for making Star Wars may the 4th Be with you always,1
piggyninja52,This was actually a surprisingly nice little montage. Was expecting something more like yt rewind lol,1
GamerArasTR,May the 4th be with everyone !!!,1
Wazzup4147,"May the force be with you all, always.",1
Imnotgoodwithames,May the 4th be with you all!,1
